CCAA de destino,Países,Trimestre,Total gasto,Total turistas,Dias estancia media
"Balears, Illes",Estados Unidos de América,2021T2,"17722078,41","6174,00","9,07"
"Balears, Illes",Estados Unidos de América,2021T1,"2405213,54","1982,00","11,00"
"Balears, Illes",Estados Unidos de América,2020T4,"3781326,58","3636,00","14,57"
"Balears, Illes",Estados Unidos de América,2020T3,"15485531,01","7035,00","11,60"
"Balears, Illes",Estados Unidos de América,2020T2,"0,00","2279,00","13,07"
"Balears, Illes",Estados Unidos de América,2020T1,"9773451,27","6119,00","8,80"
"Balears, Illes",México,2023T2,"5082696,25","3899,00","5,93"
"Balears, Illes",México,2023T1,"1188993,30","1439,00","5,87"
"Balears, Illes",México,2022T4,"1956180,51","2282,00","6,00"
"Balears, Illes",México,2022T3,"6246183,14","6241,00","6,00"
"Balears, Illes",México,2022T2,"3837568,34","4318,00","5,83"
"Balears, Illes",México,2022T1,"811824,14","951,00","7,90"
"Balears, Illes",México,2021T4,"1108312,85","682,00","9,63"
"Balears, Illes",México,2021T3,"3680067,48","1768,00","9,40"
"Balears, Illes",México,2021T2,"813163,89","325,00","9,50"
"Balears, Illes",México,2021T1,"139624,85","153,00","11,00"
"Balears, Illes",México,2020T4,"220046,98","215,00","11,63"
"Balears, Illes",México,2020T3,"770699,77","432,00","11,40"
"Balears, Illes",México,2020T2,"0,00","172,00","10,47"
"Balears, Illes",México,2020T1,"600644,12","529,00","9,23"
"Balears, Illes",Australia,2023T2,"13729220,51","5845,00","5,80"
"Balears, Illes",Australia,2023T1,"1233485,57","364,00","7,83"
"Balears, Illes",Australia,2022T4,"3233332,10","1303,00","6,53"
"Balears, Illes",Australia,2022T3,"20059948,90","8051,00","6,50"
"Balears, Illes",Australia,2022T2,"8191746,98","2671,00","6,10"
"Balears, Illes",Australia,2022T1,"819674,70","185,00","8,53"
"Balears, Illes",Australia,2021T4,"1000440,61","248,00","8,30"
"Balears, Illes",Australia,2021T3,"1665668,33","370,00","7,03"
"Balears, Illes",Australia,2021T2,"539874,63","84,00","4,80"
"Balears, Illes",Australia,2021T1,"96414,85","0,00","0,00"
"Balears, Illes",Australia,2020T4,"175135,27","139,00","13,87"
"Balears, Illes",Australia,2020T3,"568734,40","272,00","10,10"
"Balears, Illes",Australia,2020T2,"0,00","64,00","5,53"
"Balears, Illes",Australia,2020T1,"558660,38","435,00","7,70"
"Balears, Illes",China,2023T2,"3116116,83","8008,00","4,80"
"Balears, Illes",China,2023T1,"1448187,78","1831,00","6,33"
"Balears, Illes",China,2022T4,"1975114,46","2185,00","6,40"
"Balears, Illes",China,2022T3,"2088916,13","5099,00","5,83"
"Balears, Illes",China,2022T2,"2718981,08","3518,00","6,07"
"Balears, Illes",China,2022T1,"692203,59","738,00","7,70"
"Balears, Illes",China,2021T4,"1232564,48","1318,00","7,17"
"Balears, Illes",China,2021T3,"1255815,85","1472,00","7,47"
"Balears, Illes",China,2021T2,"813608,23","1098,00","7,97"
"Balears, Illes",China,2021T1,"231147,16","875,00","7,90"
"Balears, Illes",China,2020T4,"319368,20","799,00","11,30"
"Balears, Illes",China,2020T3,"564852,18","1180,00","9,37"
"Balears, Illes",China,2020T2,"0,00","601,00","10,30"
"Balears, Illes",China,2020T1,"790406,17","2334,00","8,20"
"Balears, Illes",Corea,2023T2,"2900571,99","1559,00","4,07"
"Balears, Illes",Corea,2023T1,"788919,94","523,00","4,07"
"Balears, Illes",Corea,2022T4,"1020734,58","592,00","4,00"
"Balears, Illes",Corea,2022T3,"1237103,50","1260,00","4,13"
"Balears, Illes",Corea,2022T2,"842911,23","522,00","4,27"
"Balears, Illes",Corea,2022T1,"82778,08","0,00","0,00"
"Balears, Illes",Corea,2021T4,"88018,49","43,00","1,20"
"Balears, Illes",Corea,2021T3,"163897,38","30,00","1,87"
"Balears, Illes",Corea,2021T2,"40402,33","0,00","0,00"
